stringId	preferredName
ENSP00000253792	ACLY
ENSP00000244007	PLCG1
ENSP00000156825	MBD3
ENSP00000416892	EIF3L
ENSP00000339001	TUBB
ENSP00000270625	RPS11
ENSP00000301633	BIRC5
ENSP00000360266	JUN
ENSP00000366819	UCHL3
ENSP00000225577	RPS6KB1
ENSP00000340879	RAD1
ENSP00000470087	ENSG00000268643
ENSP00000256474	VHL
ENSP00000247668	TRAF2
ENSP00000314004	ANAPC2
ENSP00000344456	CTNNB1
ENSP00000307684	TADA3
ENSP00000316176	UBE2N
ENSP00000320893	ASB8
ENSP00000334105	PLCB4
ENSP00000363676	RPL11
ENSP00000340409	SMPD1
ENSP00000264607	ASB1
ENSP00000328287	RNF123
ENSP00000339720	NDUFA4
ENSP00000346080	RPL22L1
ENSP00000284320	TOMM70A
ENSP00000360821	UBAC1
ENSP00000351686	PRDM10
ENSP00000352175	SNX11
ENSP00000368831	SNX2
ENSP00000217185	PTK6
ENSP00000285398	ERCC3
ENSP00000253339	LATS1
ENSP00000472469	RPS28
ENSP00000381204	TMEM123
ENSP00000312442	AP1G2
ENSP00000356236	SYT2
ENSP00000230990	HBEGF
ENSP00000352219	BCS1L
ENSP00000377640	RPL24
ENSP00000269554	PIP4K2B
ENSP00000363349	SNX30
ENSP00000262367	CREBBP
ENSP00000291670	FTCD
ENSP00000367623	HSPA14
ENSP00000331019	RPS27L
ENSP00000322457	SIAH2
ENSP00000256383	EIF2S1
ENSP00000337746	ISYNA1
ENSP00000262056	EIF4B
ENSP00000325369	AP3S1
ENSP00000358320	POLR3GL
ENSP00000382269	HECTD1
ENSP00000318641	INTS3
ENSP00000292807	AP2M1
ENSP00000232014	BCL6
ENSP00000267163	RB1
ENSP00000318674	FBXL16
ENSP00000377958	CCT4
ENSP00000340281	EIF4G2
ENSP00000296741	ENPP6
ENSP00000379026	FBXW10
ENSP00000286719	PPEF2
ENSP00000306579	CERS6
ENSP00000396620	NFYC
ENSP00000345282	GPT2
ENSP00000335091	ZNRF1
ENSP00000326366	PSEN1
ENSP00000391942	NECAP2
ENSP00000005340	DVL2
ENSP00000263228	UBE2R2
ENSP00000360613	UBE2A
ENSP00000425133	SMG7
ENSP00000217131	CTSZ
ENSP00000357674	SNAPIN
ENSP00000078429	GNA11
ENSP00000320949	CNOT1
ENSP00000324740	YES1
ENSP00000284981	APP
ENSP00000245541	GGA3
ENSP00000360296	PPAP2B
ENSP00000367459	KIAA0319
ENSP00000272645	POLR2D
ENSP00000274764	HIST1H2BA
ENSP00000264903	CNOT6L
ENSP00000378702	BRD2
ENSP00000275364	GNA12
ENSP00000254963	HSPA12B
ENSP00000331111	ZNRD1
ENSP00000287156	UBE2L6
ENSP00000337701	PNPLA2
ENSP00000314414	AP2B1
ENSP00000393241	RPS18
ENSP00000378529	FZR1
ENSP00000353224	TFRC
ENSP00000408695	PRKCA
ENSP00000253083	HIP1R
ENSP00000258281	TAF5L
ENSP00000329697	PPAP2C
ENSP00000264335	YWHAE
ENSP00000377696	NIT2
ENSP00000450730	ENSG00000258973
ENSP00000371394	SYT8
ENSP00000354633	TAF11
ENSP00000445162	GTF2H3
ENSP00000419449	EIF1
ENSP00000247843	YEATS4
ENSP00000364802	HSPA1A
ENSP00000340596	UBE3B
ENSP00000273588	AMT
ENSP00000240185	TARDBP
ENSP00000351908	MAP3K5
ENSP00000329623	BCL2
ENSP00000323714	EIF4E1B
ENSP00000307126	DEGS2
ENSP00000366618	HIST1H2BL
ENSP00000373713	SACM1L
ENSP00000283195	RANBP2
ENSP00000371362	NADKD1
ENSP00000262903	HACE1
ENSP00000342755	RNF41
ENSP00000275493	EGFR
ENSP00000347890	DNM2
ENSP00000274793	PLA2G7
ENSP00000283109	RIOK2
ENSP00000266505	PLCZ1
ENSP00000361918	PPIE
ENSP00000369703	TUBB2A
ENSP00000342886	HIST1H2BJ
ENSP00000369716	CHD3
ENSP00000340019	HSPD1
ENSP00000339740	CAMK2D
ENSP00000262030	ATP5B
ENSP00000251453	RPS16
ENSP00000355961	INTS7
ENSP00000431445	CD3G
ENSP00000332194	HIST2H2AC
ENSP00000351575	BDP1
ENSP00000363458	LDLRAP1
ENSP00000308450	CDC20
ENSP00000390158	HERC1
ENSP00000352980	HIST1H4A
ENSP00000311032	CASP3
